,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
282,N/A,N/A,atvi,N/A,N/A,N/A,N/A,N/A,56.30,19.84,4.03,2.55,20.46,28.37,5.94,13.22,6.36,17770000000.0,17770000000.0,16.81,2.35,3.88,12.79,3.88,2880000000.0,12.79,919000000.0,1.26,34.50,15.00,4470000000.0,6.16,4080000000.0,3.09,9.97,1360000000.0,1.68,30.65,60.70,14740000.0,2.60,2.70,18030000.0,N/A
283,N/A,N/A,sre,N/A,N/A,N/A,N/A,N/A,116.31,18.49,2.25,2.14,12.37,18.44,3.27,12.02,44.31,39640000000.0,39640000000.0,19.12,2.58,3.63,12.44,3.63,3350000000.0,12.44,1350000000.0,5.38,76.90,4.00,398000000.0,1.61,14280000000.0,0.97,46.44,2070000000.0,0.38,5.73,71.10,2390000.0,2.10,1.00,2840000.0,N/A
284,N/A,N/A,fb,N/A,N/A,N/A,N/A,N/A,0.50,85.20,18.29,6.54,20.80,35.92,9.94,10.36,5.05,2.2574e+11,2.2574e+11,33.21,1.62,16.71,35.90,16.71,10310000000.0,35.90,2800000000.0,1.03,20.20,41.60,12410000000.0,4.42,186000000.0,8.59,13.45,5870000000.0,0.77,3.26,65.90,23540000.0,1.10,1.10,26110000.0,N/A
285,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,116.44,15.20,1.51,1.50,9.97,19.58,3.57,10.15,34.93,46540000000.0,46540000000.0,14.30,2.94,2.73,9.10,2.73,9300000000.0,9.10,1700000000.0,3.48,12.30,1.30,297000000.0,0.61,20080000000.0,0.58,35.19,4740000000.0,0.46,0.06,66.90,4090000.0,1.60,0.80,3880000.0,N/A
286,N/A,N/A,cme,N/A,N/A,N/A,N/A,N/A,13.52,26.51,9.99,1.50,37.47,58.02,1.77,5.62,9.49,32810000000.0,32810000000.0,22.08,2.03,10.32,15.81,10.32,2990000000.0,15.81,1190000000.0,3.54,23.80,8.40,1770000000.0,5.25,2850000000.0,1.04,62.80,1330000000.0,0.83,5.59,75.40,6820000.0,4.90,2.40,6260000.0,N/A
287,N/A,N/A,cinf,N/A,N/A,N/A,N/A,N/A,13.23,14.97,1.65,1.25,11.15,16.43,2.81,8.80,30.80,8660000000.0,8660000000.0,19.21,2.92,1.72,9.84,1.72,788000000.0,9.84,562000000.0,3.40,40.70,8.10,665000000.0,4.05,874000000.0,1.33,40.22,959000000.0,1.06,9.08,62.30,2790000.0,6.20,1.90,2900000.0,N/A
288,N/A,N/A,trv,N/A,N/A,N/A,N/A,N/A,25.55,9.52,1.15,1.25,12.83,18.97,3.10,13.83,81.75,33350000000.0,33350000000.0,10.30,1.87,1.23,5.56,1.23,13290000000.0,5.56,3450000000.0,10.29,20.80,1.20,4800000000.0,15.06,6350000000.0,0.39,77.96,3190000000.0,1.17,0.31,85.50,8570000.0,4.50,2.70,8760000.0,N/A
289,N/A,N/A,myl,N/A,N/A,N/A,N/A,N/A,94.93,32.38,4.38,3.80,11.05,19.56,5.14,14.21,20.45,43400000000.0,43400000000.0,14.85,1.42,5.51,20.49,5.51,3530000000.0,20.49,870100000.0,2.13,51.20,9.10,323400000.0,0.66,8630000000.0,1.40,18.54,1010000000.0,0.81,0.64,93.00,26030000.0,4.10,7.00,26530000.0,N/A
290,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,20.45,38.04,6.26,4.28,16.64,24.17,8.06,11.90,11.43,12930000000.0,12930000000.0,23.48,1.87,6.35,18.67,6.35,1350000000.0,18.67,338890000.0,1.87,6.80,16.10,713280000.0,4.00,609650000.0,4.61,16.69,668780000.0,1.55,3.21,87.60,5260000.0,3.60,3.00,5840000.0,N/A
291,N/A,N/A,has,N/A,N/A,N/A,N/A,N/A,120.44,24.29,2.26,6.76,9.52,15.13,9.83,26.08,34.00,10230000000.0,10230000000.0,19.57,2.04,2.37,12.63,2.37,2580000000.0,12.63,410510000.0,3.20,16.90,5.00,1100000000.0,8.87,1790000000.0,2.93,11.60,527650000.0,1.29,11.04,86.80,10530000.0,12.90,10.70,11150000.0,N/A
